index,mese,giorno,rain,t_min,t_ave,t_max,radiaz
1,1,1,0.0,4.3,7.1,11.4,7055
2,1,2,0.0,1.9,5.8,12.9,7252
3,1,3,0.0,0.9,4.2,11.8,5448
4,1,4,0.0,1.7,5.1,12.1,5692
5,1,5,0.0,0.8,6.3,13.5,7461
6,1,6,0.0,0.1,3.1,8.1,5828
7,1,7,0.0,-1.2,3.1,8.3,5461
8,1,8,0.0,2.9,6.3,11.1,7714
9,1,9,0.0,2.4,6.6,12.6,7095
10,1,10,0.0,1.2,4.3,9.7,6599
11,1,11,0.0,2.4,7.7,16.1,7768
12,1,12,0.0,2.3,5.8,11.2,7947
13,1,13,0.0,1.6,5.0,11.0,7624
14,1,14,0.0,0.5,3.6,9.0,5940
15,1,15,0.0,0.3,4.1,8.7,5044
16,1,16,0.0,2.0,6.6,13.1,7595
17,1,17,0.0,4.2,7.6,14.2,7536
18,1,18,0.2,4.0,5.8,7.8,2332
19,1,19,0.0,0.1,5.5,11.3,5796
20,1,20,0.0,0.2,4.6,10.6,8247
21,1,21,0.0,1.5,4.4,10.2,8539
22,1,22,0.0,-0.4,3.3,10.0,8686
23,1,23,0.0,1.7,5.6,8.9,9058
24,1,24,0.0,0.3,4.3,11.1,8504
25,1,25,1.3,2.9,6.7,11.7,5141
26,1,26,10.9,6.3,7.5,8.7,1199
27,1,27,0.3,4.9,7.2,11.3,4582
28,1,28,14.5,6.2,7.4,9.2,724
29,1,29,0.0,2.0,6.6,12.1,8199
30,1,30,0.0,0.0,6.1,12.9,9617
31,1,31,0.0,3.9,7.0,11.9,8747
32,2,1,0.0,4.6,7.5,9.4,1660
33,2,2,0.0,3.7,7.8,9.6,1275
34,2,3,0.3,3.5,8.2,10.8,2531
35,2,4,8.1,1.6,7.8,13.0,4722
36,2,5,0.0,-0.5,6.1,12.4,11012
37,2,6,0.0,-0.7,4.7,11.8,11517
38,2,7,0.0,0.7,6.1,13.7,11404
39,2,8,0.0,1.5,5.8,12.7,11344
40,2,9,0.0,0.9,5.4,10.6,7382
41,2,10,5.5,5.1,6.2,7.4,555
42,2,11,0.1,3.7,8.1,13.5,8020
43,2,12,0.0,3.9,8.0,14.3,11843
44,2,13,1.4,3.6,7.7,13.6,10487
45,2,14,2.4,3.9,8.3,14.4,12553
46,2,15,0.0,4.6,8.5,15.1,10827
47,2,16,0.0,3.6,7.8,14.4,10701
48,2,17,1.0,4.8,7.1,8.3,1111
49,2,18,0.2,7.9,10.5,16.6,7567
50,2,19,0.3,3.4,9.6,14.7,11306
51,2,20,0.0,0.0,5.4,12.3,11487
52,2,21,0.0,1.6,6.9,13.6,13468
53,2,22,0.0,4.4,8.2,14.0,13663
54,2,23,0.0,3.6,7.4,12.6,8000
55,2,24,0.0,7.5,11.6,16.6,7577
56,2,25,1.5,8.7,9.7,11.2,1942
57,2,26,11.1,2.5,7.8,11.5,5479
58,2,27,0.3,0.6,5.5,11.4,13176
59,2,28,0.1,1.3,6.9,13.1,16378
60,2,29,0.0,1.6,7.2,13.5,10034
61,3,1,90.1,6.6,8.0,9.5,802
62,3,2,50.3,6.1,8.4,10.8,2946
63,3,3,12.2,6.8,9.4,13.8,6666
64,3,4,0.7,4.0,7.6,12.2,8337
65,3,5,2.6,2.6,6.4,11.5,8822
66,3,6,21.4,4.0,6.1,9.4,4495
67,3,7,0.1,3.8,9.1,15.6,13861
68,3,8,0.0,3.1,7.5,13.3,17914
69,3,9,0.0,3.0,7.4,12.7,11029
70,3,10,0.0,4.8,8.3,14.5,9440
71,3,11,0.0,3.8,9.4,17.0,17410
72,3,12,0.0,5.4,10.6,16.9,17244
73,3,13,0.5,8.3,10.7,13.3,3434
74,3,14,0.1,7.8,11.0,14.2,8426
75,3,15,0.0,5.0,9.3,13.9,19656
76,3,16,0.0,3.7,8.7,15.5,19939
