index,mese,giorno,ora,rain,temp,radiaz
1,1,1,1.00,0.0,-4.4,0
2,1,1,2.00,0.0,-4.4,0
3,1,1,3.00,0.0,-4.8,0
4,1,1,4.00,0.0,-4.7,0
5,1,1,5.00,0.0,-4.4,0
6,1,1,6.00,0.0,-4.8,0
7,1,1,7.00,0.0,-5.0,12
8,1,1,8.00,0.0,-3.7,125
9,1,1,9.00,0.0,-2.5,-
10,1,1,10.00,0.0,-1.2,626
11,1,1,11.00,0.0,0.8,484
12,1,1,12.00,0.0,0.8,367
13,1,1,13.00,0.0,1.0,353
14,1,1,14.00,0.0,1.1,303
15,1,1,15.00,0.0,0.7,93
16,1,1,16.00,0.0,-0.5,9
17,1,1,17.00,0.1,-0.5,0
18,1,1,18.00,0.8,-0.2,1
19,1,1,19.00,2.2,-0.2,1
20,1,1,20.00,2.1,-1.0,1
21,1,1,21.00,2.1,-1.3,1
22,1,1,22.00,1.2,-1.7,1
23,1,1,23.00,1.2,-1.8,0
24,1,1,24.00,1.5,-1.9,0
25,1,2,1.00,1.4,-1.8,0
26,1,2,2.00,0.6,-1.8,0
27,1,2,3.00,0.2,-1.7,0
28,1,2,4.00,0.4,-1.8,0
29,1,2,5.00,0.7,-1.8,0
30,1,2,6.00,0.5,-2.0,1
31,1,2,7.00,0.0,-1.6,0
32,1,2,8.00,0.3,-1.5,3
33,1,2,9.00,1.4,-1.3,-
34,1,2,10.00,2.6,-1.4,-
35,1,2,11.00,2.3,-1.2,-
36,1,2,12.00,1.3,-1.1,-
37,1,2,13.00,1.5,-1.2,-
38,1,2,14.00,1.2,-1.3,-
39,1,2,15.00,2.3,-1.5,1
40,1,2,16.00,3.1,-1.6,0
41,1,2,17.00,3.2,-1.5,0
42,1,2,18.00,3.4,-1.6,0
43,1,2,19.00,4.2,-1.4,0
44,1,2,20.00,4.0,-1.3,0
45,1,2,21.00,2.0,-1.1,0
46,1,2,22.00,1.4,-1.0,0
47,1,2,23.00,1.7,-0.9,0
48,1,2,24.00,2.0,-0.9,0
49,1,3,1.00,-,-0.9,0
50,1,3,2.00,-,-0.9,0
51,1,3,3.00,2.5,-0.8,0
52,1,3,4.00,2.2,-0.4,1
53,1,3,5.00,0.9,-0.8,0
54,1,3,6.00,-,-1.2,0
55,1,3,7.00,0.0,-0.9,1
56,1,3,8.00,0.0,-0.7,10
57,1,3,9.00,0.0,0.4,59
58,1,3,10.00,0.0,1.1,386
59,1,3,11.00,0.0,1.6,569
60,1,3,12.00,0.0,1.0,513
61,1,3,13.00,0.0,0.3,270
62,1,3,14.00,0.0,0.5,317
63,1,3,15.00,0.0,-0.1,107
64,1,3,16.00,0.0,-0.1,14
65,1,3,17.00,0.0,-0.1,3
66,1,3,18.00,0.0,-0.3,3
67,1,3,19.00,0.0,-0.3,4
68,1,3,20.00,0.0,-0.4,1
69,1,3,21.00,0.0,-0.4,3
70,1,3,22.00,0.0,-0.5,2
71,1,3,23.00,0.0,-0.6,1
72,1,3,24.00,0.0,-0.7,3
73,1,4,1.00,0.0,-0.8,2
74,1,4,2.00,0.0,-0.9,3
75,1,4,3.00,0.0,-1.0,1
76,1,4,4.00,0.0,-1.0,2
77,1,4,5.00,0.0,-1.0,3
78,1,4,6.00,0.0,-1.1,1
79,1,4,7.00,0.0,-1.1,7
80,1,4,8.00,0.0,-0.8,104
81,1,4,9.00,0.0,-0.6,254
82,1,4,10.00,0.0,-0.3,408
83,1,4,11.00,0.0,0.1,502
