index,mese,giorno,rain,t_min,t_ave,t_max,radiaz
1,1,1,11.2,-5.6,-1.9,1.3,2880
2,1,2,41.7,-2.1,-1.4,-0.8,2573
3,1,3,11.8,-1.6,-0.2,1.6,2266
4,1,4,0.4,-1.5,-0.9,0.1,3099
5,1,5,2.9,-7.1,-2.5,-0.9,1935
6,1,6,3.0,-4.9,-1.7,0.2,771
7,1,7,0.0,-4.0,-2.7,-1.4,1430
8,1,8,0.0,-13.2,-6.4,-2.5,2758
9,1,9,0.0,-16.0,-11.5,-6.5,2719
10,1,10,0.0,-14.2,-9.2,-6.9,546
11,1,11,0.0,-15.9,-10.0,-5.3,3782
12,1,12,0.0,-18.2,-10.7,-4.4,2246
13,1,13,0.0,-13.8,-7.8,0.8,7226
14,1,14,0.6,-11.3,-4.3,3.6,4248
15,1,15,0.0,-15.9,-10.5,-3.6,8766
16,1,16,0.0,-16.9,-10.8,-0.7,8470
17,1,17,0.0,-15.2,-11.2,-6.4,2932
18,1,18,0.0,-14.1,-8.5,0.5,5490
19,1,19,0.0,-14.1,-5.8,0.5,8436
20,1,20,0.0,-5.7,-0.4,3.6,6576
21,1,21,5.1,0.4,2.1,4.5,2158
22,1,22,63.8,-0.1,1.1,3.3,1695
23,1,23,33.3,-2.8,0.0,1.3,898
24,1,24,0.0,-6.8,-2.5,-0.2,903
25,1,25,0.0,-9.9,-6.0,-2.1,1643
26,1,26,0.0,-12.2,-6.8,0.8,7811
27,1,27,0.0,-13.6,-6.6,0.1,7062
28,1,28,0.0,-11.7,-4.3,1.1,5881
29,1,29,0.0,-4.9,-1.6,2.0,2876
30,1,30,0.6,-7.9,0.0,8.2,8652
31,1,31,11.2,-3.1,-1.2,1.1,6430
32,2,1,0.0,-7.0,-2.8,1.1,4208
33,2,2,0.0,-7.3,-0.1,5.1,9268
34,2,3,0.0,0.8,3.4,5.4,3006
35,2,4,0.0,1.4,3.8,6.6,10144
36,2,5,0.0,1.8,4.4,7.9,4883
37,2,6,0.0,1.7,3.9,8.2,5028
38,2,7,54.4,0.4,1.9,4.4,4285
39,2,8,21.9,-0.7,0.6,3.1,3541
40,2,9,2.0,-0.3,0.8,3.6,3883
41,2,10,22.1,-0.3,0.1,1.6,4891
42,2,11,0.0,-8.9,-1.7,2.5,5933
43,2,12,0.0,-11.7,-8.2,-4.0,12708
44,2,13,0.0,-11.6,-8.3,-4.9,12812
45,2,14,0.0,-15.3,-8.1,1.1,14248
46,2,15,0.0,-15.8,-6.4,2.9,14155
47,2,16,0.0,-8.0,-0.7,6.0,12610
48,2,17,0.0,-4.0,1.1,8.6,11499
49,2,18,0.0,-5.7,1.5,8.9,13007
50,2,19,0.0,0.6,3.4,8.3,12300
51,2,20,0.0,-2.0,2.7,10.8,13230
52,2,21,0.0,-0.6,3.7,7.4,12122
53,2,22,0.0,-0.6,4.6,10.6,13702
54,2,23,0.0,-3.4,3.7,14.0,13744
55,2,24,0.0,-3.2,3.3,14.3,13405
56,2,25,0.0,-2.9,4.1,14.9,14006
57,2,26,0.0,-3.0,3.8,14.8,15422
58,2,27,0.0,-2.6,4.2,11.7,11850
59,2,28,0.0,-5.2,0.2,7.1,16857
60,3,1,0.0,-6.7,1.2,10.4,16663
61,3,2,0.0,-5.0,1.7,10.4,16565
62,3,3,0.0,-4.8,3.3,15.0,16304
63,3,4,0.0,0.3,4.8,10.8,12026
64,3,5,0.8,0.9,4.4,10.9,10558
65,3,6,0.0,-5.6,-0.5,4.1,16321
66,3,7,0.0,-8.6,-0.2,10.3,18311
67,3,8,0.7,-5.4,1.9,10.2,13782
68,3,9,0.0,-2.9,1.5,5.5,14038
69,3,10,0.0,-5.6,0.2,6.9,13946
70,3,11,0.0,-4.2,1.7,5.2,6401
71,3,12,0.0,-0.9,4.4,9.4,10100
72,3,13,0.1,-2.8,4.5,10.9,11730
73,3,14,19.3,-7.3,0.0,4.7,530
74,3,15,0.0,-9.9,-1.0,7.2,13189
75,3,16,0.0,-5.6,0.4,7.8,13742
76,3,17,0.0,-5.9,-0.6,5.6,13335
77,3,18,0.0,-7.1,-1.6,5.4,14275
78,3,19,0.0,-8.0,-2.0,4.1,16298
